"CIRCOSCRIZIONE","COLLEGIO_UNINOMINALE","DESCR_LISTA","CANDIDATO"
"LOMBARDIA","LOMBARDIA - U09","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","CRISTINA TEDALDI"
"LOMBARDIA","LOMBARDIA - U09","MASTELLA NOI DI CENTRO EUROPEISTI","FEDERICA FRANCESCA BONVINI"
"LOMBARDIA","LOMBARDIA - U09","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","GIULIOMARIA TERZI DI SANT'AGATA"
"LOMBARDIA","LOMBARDIA - U09","LEGA PER SALVINI PREMIER","GIULIOMARIA TERZI DI SANT'AGATA"
"LOMBARDIA","LOMBARDIA - U09","FRATELLI D'ITALIA CON GIORGIA MELONI","GIULIOMARIA TERZI DI SANT'AGATA"
"LOMBARDIA","LOMBARDIA - U09","FORZA ITALIA","GIULIOMARIA TERZI DI SANT'AGATA"
"LOMBARDIA","LOMBARDIA - U09","ITALIA SOVRANA E POPOLARE","PIETRO MARTINELLI"
"LOMBARDIA","LOMBARDIA - U09","MOVIMENTO 5 STELLE","MARIAROSA GHITTI"
"LOMBARDIA","LOMBARDIA - U09","ITALEXIT PER L'ITALIA","GIAN LUCA BERETTA"
"LOMBARDIA","LOMBARDIA - U09","AZIONE - ITALIA VIVA - CALENDA","MARIASTELLA GELMINI"
"LOMBARDIA","LOMBARDIA - U09","UNIONE POPOLARE CON DE MAGISTRIS","LAURA ALGHISI"
"LOMBARDIA","LOMBARDIA - U09","VITA","FLAMINIO MAFFETTINI"
"LOMBARDIA","LOMBARDIA - U11","+EUROPA","CARLO COTTARELLI"
"LOMBARDIA","LOMBARDIA - U11","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","CARLO COTTARELLI"
"LOMBARDIA","LOMBARDIA - U11","ALLEANZA VERDI E SINISTRA","CARLO COTTARELLI"
"LOMBARDIA","LOMBARDIA - U11","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","CARLO COTTARELLI"
"LOMBARDIA","LOMBARDIA - U11","MASTELLA NOI DI CENTRO EUROPEISTI","GIANCARLO NOLLI"
"LOMBARDIA","LOMBARDIA - U11","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","DANIELA GARNERO SANTANCHE'"
"LOMBARDIA","LOMBARDIA - U11","LEGA PER SALVINI PREMIER","DANIELA GARNERO SANTANCHE'"
"LOMBARDIA","LOMBARDIA - U11","FRATELLI D'ITALIA CON GIORGIA MELONI","DANIELA GARNERO SANTANCHE'"
"LOMBARDIA","LOMBARDIA - U11","FORZA ITALIA","DANIELA GARNERO SANTANCHE'"
"LOMBARDIA","LOMBARDIA - U11","ITALIA SOVRANA E POPOLARE","MONICA PERUGINI"
"LOMBARDIA","LOMBARDIA - U11","MOVIMENTO 5 STELLE","UMBERTO DI FRANCO"
"LOMBARDIA","LOMBARDIA - U11","ITALEXIT PER L'ITALIA","LORENZA RIZZI"
"LOMBARDIA","LOMBARDIA - U11","AZIONE - ITALIA VIVA - CALENDA","FRANCESCA ZALTIERI"
"LOMBARDIA","LOMBARDIA - U11","UNIONE POPOLARE CON DE MAGISTRIS","PIERLUIGI LUISI"
"LOMBARDIA","LOMBARDIA - U11","VITA","GIUSEPPE BADOLATO"
"VENETO","VENETO - U01","ALLEANZA VERDI E SINISTRA","MICHELE MOGNATO"
"VENETO","VENETO - U01","+EUROPA","MICHELE MOGNATO"
"VENETO","VENETO - U01","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","MICHELE MOGNATO"
"VENETO","VENETO - U01","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","MICHELE MOGNATO"
"VENETO","VENETO - U01","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","RAFFAELE SPERANZON"
"VENETO","VENETO - U01","LEGA PER SALVINI PREMIER","RAFFAELE SPERANZON"
"VENETO","VENETO - U01","FORZA ITALIA","RAFFAELE SPERANZON"
"VENETO","VENETO - U01","FRATELLI D'ITALIA CON GIORGIA MELONI","RAFFAELE SPERANZON"
"VENETO","VENETO - U01","ITALEXIT PER L'ITALIA","NICOLETTA  CIRIELLO"
"VENETO","VENETO - U01","VITA","VANESSA ZUPPA"
"VENETO","VENETO - U01","MOVIMENTO 5 STELLE","SARA GIAGGIO"
"VENETO","VENETO - U01","AZIONE - ITALIA VIVA - CALENDA","GABRIELE GALIAZZO"
"VENETO","VENETO - U01","ITALIA SOVRANA E POPOLARE","PAOLO DENAT"
"VENETO","VENETO - U01","UNIONE POPOLARE CON DE MAGISTRIS","FILIPPO NAPPI"
"VENETO","VENETO - U01","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","PAOLA GANZ"
"VENETO","VENETO - U02","ALLEANZA VERDI E SINISTRA","PAOLO GALEANO"
"VENETO","VENETO - U02","+EUROPA","PAOLO GALEANO"
"VENETO","VENETO - U02","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","PAOLO GALEANO"
"VENETO","VENETO - U02","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","PAOLO GALEANO"
"VENETO","VENETO - U02","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","LUCA DE CARLO"
"VENETO","VENETO - U02","LEGA PER SALVINI PREMIER","LUCA DE CARLO"
"VENETO","VENETO - U02","FORZA ITALIA","LUCA DE CARLO"
"VENETO","VENETO - U02","FRATELLI D'ITALIA CON GIORGIA MELONI","LUCA DE CARLO"
"VENETO","VENETO - U02","ITALEXIT PER L'ITALIA","ROBERTO LEVI"
"VENETO","VENETO - U02","VITA","ALBERTO POLI"
"VENETO","VENETO - U02","MOVIMENTO 5 STELLE","FLAVIO BALDAN"
"VENETO","VENETO - U02","AZIONE - ITALIA VIVA - CALENDA","PAOLA TIZIANA FRANCESCA BERGAMO"
"VENETO","VENETO - U02","ITALIA SOVRANA E POPOLARE","LOREDANA VERONESE"
"VENETO","VENETO - U02","UNIONE POPOLARE CON DE MAGISTRIS","GABRIELLA CASSOL"
"VENETO","VENETO - U02","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","MASSIMILIANO ZANNINI"
"VENETO","VENETO - U03","ALLEANZA VERDI E SINISTRA","EMANUELE ALECCI"
"VENETO","VENETO - U03","+EUROPA","EMANUELE ALECCI"
"VENETO","VENETO - U03","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","EMANUELE ALECCI"
"VENETO","VENETO - U03","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","EMANUELE ALECCI"
"VENETO","VENETO - U03","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","ANNA MARIA BERNINI"
"VENETO","VENETO - U03","LEGA PER SALVINI PREMIER","ANNA MARIA BERNINI"
"VENETO","VENETO - U03","FORZA ITALIA","ANNA MARIA BERNINI"
"VENETO","VENETO - U03","FRATELLI D'ITALIA CON GIORGIA MELONI","ANNA MARIA BERNINI"
"VENETO","VENETO - U03","ITALEXIT PER L'ITALIA","FRANCESCA CONZ"
"VENETO","VENETO - U03","VITA","LINA SPINELLI"
"VENETO","VENETO - U03","MOVIMENTO 5 STELLE","GIORGIO BURLINI"
"VENETO","VENETO - U03","AZIONE - ITALIA VIVA - CALENDA","INNOCENTE MARANGON"
"VENETO","VENETO - U03","ITALIA SOVRANA E POPOLARE","AMPELIO PINTON"
"VENETO","VENETO - U03","UNIONE POPOLARE CON DE MAGISTRIS","STEFANIA AQUILINI"
"VENETO","VENETO - U03","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","TANIA TORRESI"
"VENETO","VENETO - U04","ALLEANZA VERDI E SINISTRA","CLAUDIA MARIA LONGHI"
"VENETO","VENETO - U04","+EUROPA","CLAUDIA MARIA LONGHI"
"VENETO","VENETO - U04","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","CLAUDIA MARIA LONGHI"
"VENETO","VENETO - U04","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","CLAUDIA MARIA LONGHI"
"VENETO","VENETO - U04","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","MARA BIZZOTTO"
"VENETO","VENETO - U04","LEGA PER SALVINI PREMIER","MARA BIZZOTTO"
"VENETO","VENETO - U04","FORZA ITALIA","MARA BIZZOTTO"
"VENETO","VENETO - U04","FRATELLI D'ITALIA CON GIORGIA MELONI","MARA BIZZOTTO"
"VENETO","VENETO - U04","ITALEXIT PER L'ITALIA","GIORGIO AMADORI"
"VENETO","VENETO - U04","VITA","LUIGI CAPONETTO"
"VENETO","VENETO - U04","MOVIMENTO 5 STELLE","BARBARA GUIDOLIN"
"VENETO","VENETO - U04","AZIONE - ITALIA VIVA - CALENDA","MARILISA MUNARI"
"VENETO","VENETO - U04","ITALIA SOVRANA E POPOLARE","CRISTINA BOMITALI"
"VENETO","VENETO - U04","UNIONE POPOLARE CON DE MAGISTRIS","ROBERTO FOGAGNOLI"
"VENETO","VENETO - U04","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","FILIPPO SCIORTINO"
"VENETO","VENETO - U05","ALLEANZA VERDI E SINISTRA","ANNA MARIA STERCHELE"
"VENETO","VENETO - U05","+EUROPA","ANNA MARIA STERCHELE"
"VENETO","VENETO - U05","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","ANNA MARIA STERCHELE"
"VENETO","VENETO - U05","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","ANNA MARIA STERCHELE"
"VENETO","VENETO - U05","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","PAOLO TOSATO"
"VENETO","VENETO - U05","LEGA PER SALVINI PREMIER","PAOLO TOSATO"
"VENETO","VENETO - U05","FORZA ITALIA","PAOLO TOSATO"
"VENETO","VENETO - U05","FRATELLI D'ITALIA CON GIORGIA MELONI","PAOLO TOSATO"
"VENETO","VENETO - U05","ITALEXIT PER L'ITALIA","STEFANO COBELLO"
"VENETO","VENETO - U05","VITA","CHIARA-STELLA SAUTTO"
"VENETO","VENETO - U05","MOVIMENTO 5 STELLE","MAURA ZAMBON"
"VENETO","VENETO - U05","AZIONE - ITALIA VIVA - CALENDA","DANILO MONTANARI"
"VENETO","VENETO - U05","ITALIA SOVRANA E POPOLARE","IVANO CORDIOLI"
"VENETO","VENETO - U05","UNIONE POPOLARE CON DE MAGISTRIS","RENATO PERETTI"
"VENETO","VENETO - U05","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","NICOLO' ZAMBERLAN"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01","VITA","PIERUMBERTO STARACE"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01","UNIONE POPOLARE CON DE MAGISTRIS","EMILIA ACCOMANDO"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","VALENTINA BALDACCI"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01","ALLEANZA VERDI E SINISTRA","FURIO HONSELL"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01","+EUROPA","FURIO HONSELL"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","FURIO HONSELL"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","FURIO HONSELL"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01","ITALEXIT PER L'ITALIA","ANTONINO IRACA'"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","LUCA CIRIANI"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01","LEGA PER SALVINI PREMIER","LUCA CIRIANI"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01","FORZA ITALIA","LUCA CIRIANI"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01","FRATELLI D'ITALIA CON GIORGIA MELONI","LUCA CIRIANI"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01","MOVIMENTO 5 STELLE","STEFANO PATUANELLI"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01","MASTELLA NOI DI CENTRO EUROPEISTI","ENRICO MASIERO"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01","AZIONE - ITALIA VIVA - CALENDA","GIULIANO CASTENETTO"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01","ITALIA SOVRANA E POPOLARE","FABIO CAMILLUCCI"
"LIGURIA","LIGURIA - U01","MOVIMENTO 5 STELLE","ENRICO MARIA NADASI"
"LIGURIA","LIGURIA - U01","UNIONE POPOLARE CON DE MAGISTRIS","GIACOMO MARCHETTI"
"LIGURIA","LIGURIA - U01","FRATELLI D'ITALIA CON GIORGIA MELONI","GIOVANNI BERRINO"
"LIGURIA","LIGURIA - U01","FORZA ITALIA","GIOVANNI BERRINO"
"LIGURIA","LIGURIA - U01","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","GIOVANNI BERRINO"
"LIGURIA","LIGURIA - U01","LEGA PER SALVINI PREMIER","GIOVANNI BERRINO"
"LIGURIA","LIGURIA - U01","VITA","RICCARDO FORTIN"
"LIGURIA","LIGURIA - U01","PARTITO COMUNISTA DEI LAVORATORI","MARCO GIUSEPPE FERRANDO"
"LIGURIA","LIGURIA - U01","AZIONE - ITALIA VIVA - CALENDA","MARIA CARIDI DETTA MARY"
"LIGURIA","LIGURIA - U01","ITALEXIT PER L'ITALIA","FRANCESCA BARBATO"
"LIGURIA","LIGURIA - U01","+EUROPA","SANDRA ZAMPA"
"LIGURIA","LIGURIA - U01","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","SANDRA ZAMPA"
"LIGURIA","LIGURIA - U01","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","SANDRA ZAMPA"
"LIGURIA","LIGURIA - U01","ALLEANZA VERDI E SINISTRA","SANDRA ZAMPA"
"LIGURIA","LIGURIA - U01","MASTELLA NOI DI CENTRO EUROPEISTI","CARMELA ALBANESE"
"LIGURIA","LIGURIA - U01","ITALIA SOVRANA E POPOLARE","SILVANO CECCOLI"
"LIGURIA","LIGURIA - U02","MOVIMENTO 5 STELLE","BARBARA TRONCHI"
"LIGURIA","LIGURIA - U02","UNIONE POPOLARE CON DE MAGISTRIS","NORMA BERTULLACELLI"
"LIGURIA","LIGURIA - U02","FRATELLI D'ITALIA CON GIORGIA MELONI","STEFANIA PUCCIARELLI"
"LIGURIA","LIGURIA - U02","FORZA ITALIA","STEFANIA PUCCIARELLI"
"LIGURIA","LIGURIA - U02","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","STEFANIA PUCCIARELLI"
"LIGURIA","LIGURIA - U02","LEGA PER SALVINI PREMIER","STEFANIA PUCCIARELLI"
"LIGURIA","LIGURIA - U02","VITA","ELISA TOGNOCCHI"
"LIGURIA","LIGURIA - U02","PARTITO COMUNISTA DEI LAVORATORI","CINZIA RONZITTI"
"LIGURIA","LIGURIA - U02","AZIONE - ITALIA VIVA - CALENDA","ANGELO CARELLA"
"LIGURIA","LIGURIA - U02","ITALEXIT PER L'ITALIA","MARCO MORI"
"LIGURIA","LIGURIA - U02","+EUROPA","GUIDO MELLEY"
"LIGURIA","LIGURIA - U02","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","GUIDO MELLEY"
"LIGURIA","LIGURIA - U02","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","GUIDO MELLEY"
"LIGURIA","LIGURIA - U02","ALLEANZA VERDI E SINISTRA","GUIDO MELLEY"
"LIGURIA","LIGURIA - U02","MASTELLA NOI DI CENTRO EUROPEISTI","ANTONIO MEROLA"
"LIGURIA","LIGURIA - U02","ITALIA SOVRANA E POPOLARE","SIMONETTA RUFFATO"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U01","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","ENRICO PAPI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U01","PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO","ALBA PROIETTI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U01","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","GIUSEPPE NEGRI DETTO BEPPE"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U01","+EUROPA","GIUSEPPE NEGRI DETTO BEPPE"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U01","ALLEANZA VERDI E SINISTRA","GIUSEPPE NEGRI DETTO BEPPE"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U01","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","GIUSEPPE NEGRI DETTO BEPPE"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U01","DESTRE UNITE","ROMINA SANZANI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U01","FRATELLI D'ITALIA CON GIORGIA MELONI","ELENA MURELLI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U01","LEGA PER SALVINI PREMIER","ELENA MURELLI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U01","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","ELENA MURELLI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U01","FORZA ITALIA","ELENA MURELLI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U01","UNIONE POPOLARE CON DE MAGISTRIS","HAITHAM ALLAWI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U01","ITALIA SOVRANA E POPOLARE","SILVIA DI CATALDO"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U01","AZIONE - ITALIA VIVA - CALENDA","ALESSANDRO SBALBI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U01","MOVIMENTO 5 STELLE","GABRIELLA ANNA MARIA BLANCATO"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U01","VITA","MARIANGELA SASSI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U01","ITALEXIT PER L'ITALIA","ERICA ROMANI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U01","MASTELLA NOI DI CENTRO EUROPEISTI","GABRIELLA BUSSOLATI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U02","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","IRENE BARTOLOMASI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U02","PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO","ALESSANDRA CAROBBI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U02","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","VINCENZA RANDO"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U02","+EUROPA","VINCENZA RANDO"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U02","ALLEANZA VERDI E SINISTRA","VINCENZA RANDO"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U02","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","VINCENZA RANDO"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U02","DESTRE UNITE","YOLANDA ANNA CHRISTINA BRIGHI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U02","FRATELLI D'ITALIA CON GIORGIA MELONI","ENRICO AIMI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U02","LEGA PER SALVINI PREMIER","ENRICO AIMI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U02","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","ENRICO AIMI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U02","FORZA ITALIA","ENRICO AIMI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U02","UNIONE POPOLARE CON DE MAGISTRIS","JUDITH PINNOCK"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U02","ITALIA SOVRANA E POPOLARE","MICHELA VANDELLI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U02","AZIONE - ITALIA VIVA - CALENDA","CHIARA CASELGRANDI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U02","MOVIMENTO 5 STELLE","MARIA LAURA MANTOVANI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U02","VITA","ANTONIETTA GATTI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U02","ITALEXIT PER L'ITALIA","MICHELE  CAMPARI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U02","MASTELLA NOI DI CENTRO EUROPEISTI","RENATO FRATI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U03","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","MAURIZIO BALDACCI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U03","PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO","ALESSANDRO CAPUCCI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U03","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","PIERFERDINANDO CASINI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U03","+EUROPA","PIERFERDINANDO CASINI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U03","ALLEANZA VERDI E SINISTRA","PIERFERDINANDO CASINI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U03","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","PIERFERDINANDO CASINI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U03","DESTRE UNITE","BRUNO SAVINI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U03","FRATELLI D'ITALIA CON GIORGIA MELONI","VITTORIO SGARBI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U03","LEGA PER SALVINI PREMIER","VITTORIO SGARBI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U03","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","VITTORIO SGARBI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U03","FORZA ITALIA","VITTORIO SGARBI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U03","UNIONE POPOLARE CON DE MAGISTRIS","MARCO ODORICI DETTO ODDO"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U03","ITALIA SOVRANA E POPOLARE","RICCARDO PACCOSI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U03","AZIONE - ITALIA VIVA - CALENDA","MARCO LOMBARDO"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U03","MOVIMENTO 5 STELLE","FABIO SELLERI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U03","VITA","STEFANO MONTANARI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U03","ITALEXIT PER L'ITALIA","DANIELE MATTEI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U03","MASTELLA NOI DI CENTRO EUROPEISTI","GIANNI CATELANI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U04","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","CARLA LODI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U04","PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO","ROBERTA TRIVELLATO"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U04","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","MANUELA RONTINI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U04","+EUROPA","MANUELA RONTINI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U04","ALLEANZA VERDI E SINISTRA","MANUELA RONTINI"
"EMILIA-ROMAGNA","EMILIA-ROMAGNA - U04","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","MANUELA RONTINI"
